,unitid,year,opeid.x,opeid6,fips.x.x,years_since_entering_repay,cohort_year.x,repay_rate,repay_rate_lowincome,repay_rate_midincome,repay_rate_highincome,repay_rate_dependent,repay_rate_independent,repay_rate_pell,repay_rate_nopell,repay_rate_female,repay_rate_male,repay_rate_firstgen,repay_rate_notfirstgen,repay_count,repay_count_lowincome,repay_count_midincome,repay_count_highincome,repay_count_dependent,repay_count_independent,repay_count_pell,repay_count_nopell,repay_count_female,repay_count_male,repay_count_firstgen,repay_count_notfirstgen,fips.y.x,cohort_year.y,race,sex,completion_rate_150pct,fips.x.y,est_fte,fips.y.y,type_of_aid,number_of_students,percent_of_students,average_amount,fips,opeid.y,inst_name_fsa,loan_type,loan_recipients_unitid,num_loans_disbursed_unitid,num_loans_originated_unitid,value_loans_originated_unitid,value_loan_disbursements_unitid,loan_recipients_opeid,num_loans_disbursed_opeid,num_loans_originated_opeid,value_loans_originated_opeid,value_loan_disbursements_opeid,allocation_flag,combined_flag,other_assoc_opeids,hbcu
45,101161,2012,106000,1060,1,5,2007,0.498188,0.391144,0.582547,0.65942,0.513196,0.473934,0.417391,0.63285,0.483696,0.527174,0.475564,0.519231,1104,542,424,138,682,422,690,414,736,368,532,572,1,2010,1,99,0.093,1,3703,1,1,854,0.88,NA,1,106000,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
46,101189,2010,100300,1003,1,3,2007,0.464219,0.355304,0.6,0.728477,0.593148,0.411404,0.384071,0.654088,0.429224,0.539063,0.455791,0.472637,1607,971,485,151,467,1140,1130,477,1095,512,803,804,1,2005,1,99,0.341,1,2837,1,1,210,1,NA,1,100300,FAULKNER UNIVERSITY,1,2097,5880,3600,9746420,9672485,2097,5880,3600,9746420,9672485,0,0,,No
48,101189,2012,100300,1003,1,5,2007,0.501176,0.396518,0.623274,0.792453,0.636179,0.446192,0.432749,0.664016,0.463918,0.58209,0.49409,0.508197,1700,1034,507,159,492,1208,1197,503,1164,536,846,854,1,2007,1,99,0.249,1,2658,1,1,320,0.99,NA,1,100300,FAULKNER UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
50,101295,2010,787100,7871,1,3,2007,0.523376,0.439591,0.657676,0.808989,0.628849,0.460194,0.434959,0.784173,0.519492,0.533191,0.510703,0.542042,1647,1076,482,89,617,1030,1230,417,1180,467,981,666,1,2008,1,99,0.21,1,5624,1,1,933,0.86,NA,1,787100,GEORGE C. WALLACE STATE COMMUNITY COLLEGE,1,2794,5417,3094,9237209,8825398,2794,5417,3094,9237209,8825398,0,0,,No
51,101295,2012,787100,7871,1,5,2007,0.523726,0.440433,0.651485,0.819149,0.633694,0.456604,0.442097,0.7669,0.518428,0.537037,0.496094,0.565154,1707,1108,505,94,647,1060,1278,429,1221,486,1024,683,1,2010,1,99,0.204,1,4486,1,1,779,0.82,NA,1,787100,GEORGE C. WALLACE STATE COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
52,101435,2010,101900,1019,1,3,2007,0.643533,0.481818,0.645669,0.8625,0.643443,0.643836,0.512658,0.773585,0.66242,0.625,0.584615,0.684492,317,110,127,80,244,73,158,159,157,160,130,187,1,2005,1,99,0.579,1,1031,1,1,272,1,NA,1,101900,HUNTINGDON COLLEGE,1,698,1301,698,2737783,2705873,698,1301,698,2737783,2705873,0,0,,No
54,101435,2012,101900,1019,1,5,2007,0.663889,0.544715,0.687075,0.788889,0.664234,0.662791,0.562162,0.771429,0.691011,0.637363,0.636364,0.682028,360,123,147,90,274,86,185,175,178,182,143,217,1,2007,1,99,0.428,1,1078,1,1,276,1,NA,1,101900,HUNTINGDON COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
56,101453,2010,2199700,21997,1,3,2007,0.566038,0.485714,-3,-3,-3,-3,-3,-3,-3,-3,0.645161,0.454545,53,35,-3,-3,14,39,40,13,11,42,31,22,1,2005,1,99,NA,1,36,1,1,3,1,NA,1,2199700,HERITAGE CHRISTIAN UNIVERSITY,1,37,113,59,134281,130281,37,113,59,134281,130281,0,0,,No
59,101453,2012,2199700,21997,1,5,2007,0.538462,0.441176,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,52,34,-3,-3,15,37,39,13,10,42,34,18,1,2007,1,99,NA,1,43,1,1,2,1,NA,1,2199700,HERITAGE CHRISTIAN UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
61,101480,2010,102000,1020,1,3,2007,0.54179,0.460114,0.613208,0.676301,0.554939,0.515521,0.487318,0.6604,0.551617,0.527372,0.556951,0.529801,2704,1404,954,346,1802,902,1853,851,1608,1096,1194,1510,1,2005,1,99,0.36,1,7180,1,1,1111,0.89,NA,1,102000,JACKSONVILLE STATE UNIVERSITY,1,4492,8127,4948,18150656,18123380,4492,8127,4948,18150655,18123379,0,0,,No
63,101480,2012,102000,1020,1,5,2007,0.565172,0.485034,0.636899,0.687671,0.581053,0.533543,0.511509,0.681869,0.572183,0.554783,0.577566,0.555416,2854,1470,1019,365,1900,954,1955,899,1704,1150,1257,1597,1,2007,1,99,0.351,1,6856,1,1,1205,0.93,NA,1,102000,JACKSONVILLE STATE UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
65,101505,2010,102200,1022,1,3,2007,0.5204,0.423841,0.592511,0.699301,0.592453,0.463487,0.431535,0.654812,0.509759,0.548485,0.504026,0.537931,1201,604,454,143,530,671,723,478,871,330,621,580,1,2008,1,99,0.127,1,6860,1,1,1007,0.77,NA,1,102200,JEFFERSON STATE COMMUNITY COLLEGE,1,2193,3887,2384,6422211,6399592,2193,3887,2384,6422211,6399592,0,0,,No
66,101505,2012,102200,1022,1,5,2007,0.54893,0.456325,0.613497,0.741935,0.62963,0.487179,0.467762,0.673114,0.537095,0.581197,0.530191,0.569157,1308,664,489,155,567,741,791,517,957,351,679,629,1,2010,1,99,0.066,1,6041,1,1,872,0.82,NA,1,102200,JEFFERSON STATE COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
67,101514,2010,101300,1013,1,3,2007,0.507977,0.410348,0.630915,0.675532,0.578638,0.452796,0.4397,0.657895,0.501497,0.522241,0.496625,0.520971,1943,1121,634,188,852,1091,1335,608,1336,607,1037,906,1,2008,1,99,0.125,1,8814,1,1,1074,0.75,NA,1,101300,CALHOUN COMMUNITY COLLEGE,1,2295,3884,2295,6779838,6666921,2295,3884,2295,6779838,6666921,0,0,,No
