"","unitid","year","opeid.x","opeid6","fips.x.x","years_since_entering_repay","cohort_year.x","repay_rate","repay_rate_lowincome","repay_rate_midincome","repay_rate_highincome","repay_rate_dependent","repay_rate_independent","repay_rate_pell","repay_rate_nopell","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_rate_notfirstgen","repay_count","repay_count_lowincome","repay_count_midincome","repay_count_highincome","repay_count_dependent","repay_count_independent","repay_count_pell","repay_count_nopell","repay_count_female","repay_count_male","repay_count_firstgen","repay_count_notfirstgen","fips.y.x","cohort_year.y","race","sex","completion_rate_150pct","fips.x.y","est_fte","fips.y.y","type_of_aid","number_of_students","percent_of_students","average_amount","fips","opeid.y","inst_name_fsa","loan_type","loan_recipients_unitid","num_loans_disbursed_unitid","num_loans_originated_unitid","value_loans_originated_unitid","value_loan_disbursements_unitid","loan_recipients_opeid","num_loans_disbursed_opeid","num_loans_originated_opeid","value_loans_originated_opeid","value_loan_disbursements_opeid","allocation_flag","combined_flag","other_assoc_opeids","hbcu"
"69",101541,2010,"00102300",1023,1,3,2007,0.571429,0.492537,-3,-3,0.625,0.44186,0.552083,0.607843,-3,-3,0.4375,0.674699,147,67,59,21,104,43,96,51,-3,-3,64,83,1,2005,1,99,0.387,1,309,1,1,93,1,NA,1,"00102300","JUDSON COLLEGE",1,185,344,206,701465,692540,185,344,206,701465,692540,0,0,"","No"
"71",101541,2012,"102300",1023,1,5,2007,0.593103,0.492063,-3,-3,0.619048,0.525,0.577778,0.618182,-3,-3,0.491803,0.666667,145,63,61,21,105,40,90,55,-3,-3,61,84,1,2007,1,99,0.453,1,343,1,1,77,1,NA,1,"00102300","JUDSON COLLEGE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"73",101587,2010,"00102400",1024,1,3,2007,0.491156,0.399527,0.586777,0.714286,0.5,0.466667,0.447566,0.606965,0.5175,0.459701,0.436261,0.541885,735,423,242,70,540,195,534,201,400,335,353,382,1,2005,1,99,0.279,1,1698,1,1,272,0.96,NA,1,"00102400","UNIVERSITY OF WEST ALABAMA",1,1476,2991,1476,5396677,5396744,1476,2991,1476,5396677,5396744,0,0,"","No"
"74",101587,2010,"00102400",1024,1,3,2007,0.491156,0.399527,0.586777,0.714286,0.5,0.466667,0.447566,0.606965,0.5175,0.459701,0.436261,0.541885,735,423,242,70,540,195,534,201,400,335,353,382,1,2005,1,99,0.438,1,1698,1,1,272,0.96,NA,1,"00102400","UNIVERSITY OF WEST ALABAMA",1,1476,2991,1476,5396677,5396744,1476,2991,1476,5396677,5396744,0,0,"","No"
"75",101587,2010,"00102400",1024,1,3,2007,0.491156,0.399527,0.586777,0.714286,0.5,0.466667,0.447566,0.606965,0.5175,0.459701,0.436261,0.541885,735,423,242,70,540,195,534,201,400,335,353,382,1,2005,1,99,0.291,1,1698,1,1,272,0.96,NA,1,"00102400","UNIVERSITY OF WEST ALABAMA",1,1476,2991,1476,5396677,5396744,1476,2991,1476,5396677,5396744,0,0,"","No"
"76",101587,2012,"102400",1024,1,5,2007,0.530818,0.434409,0.651163,0.722222,0.550523,0.479638,0.480409,0.673077,0.531674,0.529745,0.489637,0.569682,795,465,258,72,574,221,587,208,442,353,386,409,1,2007,1,99,0.6,1,1744,1,1,344,0.95,NA,1,"00102400","UNIVERSITY OF WEST ALABAMA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"77",101587,2012,"102400",1024,1,5,2007,0.530818,0.434409,0.651163,0.722222,0.550523,0.479638,0.480409,0.673077,0.531674,0.529745,0.489637,0.569682,795,465,258,72,574,221,587,208,442,353,386,409,1,2007,1,99,0.331,1,1744,1,1,344,0.95,NA,1,"00102400","UNIVERSITY OF WEST ALABAMA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"78",101587,2012,"102400",1024,1,5,2007,0.530818,0.434409,0.651163,0.722222,0.550523,0.479638,0.480409,0.673077,0.531674,0.529745,0.489637,0.569682,795,465,258,72,574,221,587,208,442,353,386,409,1,2007,1,99,0.289,1,1744,1,1,344,0.95,NA,1,"00102400","UNIVERSITY OF WEST ALABAMA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"79",101648,2010,"00102600",1026,1,3,2007,0.518072,-3,0.5,-3,-3,-3,0.408163,0.676471,-3,-3,0.458333,0.542373,83,33,34,16,-3,-3,49,34,15,68,24,59,1,2008,1,99,0.264,1,457,1,1,219,0.95,NA,1,"00102600","MARION MILITARY INSTITUTE",1,159,285,159,433526,387741,159,285,159,433526,387741,0,0,"","No"
"80",101648,2012,"102600",1026,1,5,2007,0.535714,-3,0.486486,-3,-3,-3,0.48,0.617647,-3,-3,0.44,0.576271,84,32,37,15,-3,-3,50,34,15,69,25,59,1,2010,1,99,0.233,1,422,1,1,236,0.97,NA,1,"00102600","MARION MILITARY INSTITUTE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
